Country Code,Country Name,Year,Unemployment Rate,Mean Years of Schooling,Minimum Wage (PPP),GDP (PPP),Inflation Rate - CPI (%),Labor force participation rate (%),Population growth (%),"Employment rate, male (%)"
LKA,Sri Lanka,2017,4.046,10.56999969,243.007,292000000000.0,6.580619999,59.36,1.143887584,29.0318487
LKA,Sri Lanka,2018,4.318,10.64000034,240.07,307000000000.0,4.270210001,57.19,1.006431981,28.82166851
LKA,Sri Lanka,2019,4.67,10.63000011,231.577,308000000000.0,4.300000002,57.651,0.611875946,28.04285613
LKA,Sri Lanka,2020,5.364,10.81999969,203.928,284000000000.0,4.600000003,55.814,0.53062656,27.7575572
LKA,Sri Lanka,2021,4.981,10.72999954,214.423,317000000000.0,5.95912,55.631,1.075449957,27.47323249
LKA,Sri Lanka,2022,4.528,10.77000046,154.676,315000000000.0,46.4,55.725,0.11277264,27.35001472
LKA,Sri Lanka,2023,5.997,10.77000046,138.185,319000000000.0,17.40106,55.743,-0.65132077,27.28087016
LKA,Sri Lanka,2024,4.996,10.77000046,200.024,343000000000.0,1.2424,55.661,-0.550589519,27.28087016
MMR,Myanmar,2015,0.766,4.734193908,264.441,228000000000.0,3.298013663551724,66.267,0.800670953,18.24498554
MMR,Myanmar,2016,1.058,4.849349976,246.392,230000000000.0,3.345815487827586,65.78,0.792792539,17.10131046
MMR,Myanmar,2017,1.356,5.359566689,230.728,244000000000.0,4.207002425137931,65.264,0.772302033,16.04463641
MMR,Myanmar,2018,0.767,5.869783401,299.636,292000000000.0,4.528310806206897,66.235,0.724432843,17.20079249
MMR,Myanmar,2019,0.407,6.380000114,292.058,321000000000.0,4.624918080103448,64.697,0.702425163,16.6008587
MMR,Myanmar,2020,1.476,6.380000114,286.561,304000000000.0,7.93913779851724,64.537,0.711376906,18.87376881
MMR,Myanmar,2021,4.34,6.380000114,249.751,276000000000.0,11.345335315793102,57.373,0.696558039,19.0375243
MMR,Myanmar,2022,3.057,6.380000114,249.751,308000000000.0,16.37175425637931,57.379,0.690074759,18.98285451
MMR,Myanmar,2023,3.032,6.380000114,249.751,322000000000.0,15.862202858068965,57.245,0.698879396,18.95142039
MMR,Myanmar,2024,3.032,6.380000114,249.751,327000000000.0,7.048335517241378,57.108,0.674364863,18.95142039
MNG,Mongolia,2015,4.861,10.58003116,233.781,31655860017.0,6.599999981,69.347,2.128669517,26.54627925
MNG,Mongolia,2016,7.235,10.6880374,230.17,32468148776.0,0.699999989,67.598,2.027369576,24.4665429
MNG,Mongolia,2017,6.359,10.79604363,267.826,34940501307.0,4.3,68.359,1.925778838,25.34924538
MNG,Mongolia,2018,5.377,10.90404987,259.073,39516811632.0,6.799999991,68.121,1.864801928,26.41791395
MNG,Mongolia,2019,9.269,10.16202497,334.293,44456622358.0,7.300000021,72.016,1.837150731,26.72032788
MNG,Mongolia,2020,6.594,9.420000076,450.343,45560002626.0,3.700000014,69.172,1.805420087,26.30585123
MNG,Mongolia,2021,7.747,9.420000076,438.487,50053145882.0,7.299999959,68.098,1.684959051,28.25807568
MNG,Mongolia,2022,6.211,9.420000076,538.578,56320298556.0,15.2,69.458,1.46704738,29.87074118
MNG,Mongolia,2023,5.503,9.420000076,508.165,62677497751.0,10.40000001,69.029,1.370888669,30.15654816
MNG,Mongolia,2024,5.424,9.420000076,587.797,67315454532.0,6.8,68.651,1.245902995,30.15654816
MYS,Malaysia,2015,3.1,10.25833321,562.021,766000000000.0,2.104389802,72.74,1.733194456,32.42667504
MYS,Malaysia,2016,3.44,10.36999989,624.294,804000000000.0,2.075792276,72.343,1.767310548,31.95074644
MYS,Malaysia,2017,3.41,10.46333313,600.526,855000000000.0,3.799392097,72.305,1.76466064,31.89756565
MYS,Malaysia,2018,3.3,10.55666637,612.597,915000000000.0,0.969113851,72.383,1.701747319,32.0627258
MYS,Malaysia,2019,3.26,10.64999962,681.766,968000000000.0,0.662891866,72.021,1.596466533,32.15527799
MYS,Malaysia,2020,4.54,10.79666646,763.405,931000000000.0,-1.138702151,72.281,1.333633231,32.42824929
MYS,Malaysia,2021,4.64,10.94333331,771.734,1020000000000.0,2.477102415,70.634,1.152513044,32.86606376
MYS,Malaysia,2022,3.93,11.09000015,1007.816,1190000000000.0,3.351614869,71.69,1.197772001,32.88298271
MYS,Malaysia,2023,3.869,11.09000015,1023.82,1280000000000.0,2.51572327,71.585,1.234028692,32.91917168
MYS,Malaysia,2024,3.826,11.09000015,1035.034,1380000000000.0,1.8341,71.454,1.22058891,32.91917168
NPL,Nepal,2015,10.644,3.691063976,268.277,82282973616.0,7.209863307,45.083,0.545118125,17.36104814
NPL,Nepal,2016,10.742,3.733829975,261.715,83198953169.0,9.9525,45.065,0.472697719,17.42081088
NPL,Nepal,2017,10.66,3.933636665,319.579,101000000000.0,4.441311776,45.011,0.199389989,17.74485622
NPL,Nepal,2018,10.559,4.133443356,431.597,111000000000.0,4.146498991,44.948,0.24400028,17.96127781
NPL,Nepal,2019,10.389,4.333250046,413.659,121000000000.0,4.638474885,44.945,1.183773026,18.159438
NPL,Nepal,2020,12.975,4.418489933,401.694,123000000000.0,6.149506572,44.174,1.925831066,18.48121725
NPL,Nepal,2021,12.186,4.50372982,443.351,134000000000.0,3.597062549,44.145,1.740024118,18.56220519
NPL,Nepal,2022,10.844,4.50372982,444.801,152000000000.0,6.346015272,44.328,0.812385574,18.6383046
NPL,Nepal,2023,10.628,4.50372982,498.644,160000000000.0,7.730764194,44.187,-0.070095887,18.67539489
NPL,Nepal,2024,10.706,4.50372982,815.23,170000000000.0,5.43023,44.044,-0.146800969,18.67539489
OMN,Oman,2015,3.401,9.699999809,1490.719,151000000000.0,0.043207743,76.534,4.457768872,41.67599182
OMN,Oman,2016,3.266,10.12999992,1520.622,146000000000.0,1.122916127,77.115,4.804736532,45.7300522
OMN,Oman,2017,2.522,10.56000004,1507.766,153000000000.0,1.605876826,77.26,3.282429987,48.39148139
OMN,Oman,2018,1.8,10.99000015,1586.915,174000000000.0,0.882723834,76.829,1.3241396,51.66732257
OMN,Oman,2019,2.04,11.42000027,1628.981,171000000000.0,0.483333333,75.87,-0.144431732,49.84932962
OMN,Oman,2020,2.94,11.85000038,1607.308,159000000000.0,-0.398075966,71.5,-1.508608296,48.13196777
OMN,Oman,2021,1.9,11.87000036,1579.815,174000000000.0,1.673605329,71.439,-0.489266038,47.18403088
OMN,Oman,2022,3.3,11.89000034,1664.529,202000000000.0,2.497747932,74.237,4.980136693,44.1597282
OMN,Oman,2023,3.176,11.89000034,1716.724,211000000000.0,0.942793225,74.443,6.527049885,44.10739815
OMN,Oman,2024,3.161,11.89000034,1756.93,220000000000.0,0.96565,74.504,4.497386285,44.10739815
PAK,Pakistan,2015,3.566,5.146666527,418.256,974000000000.0,4.526395011,57.823,1.402501136,26.67473483
PAK,Pakistan,2016,2.285,5.133333206,441.116,1020000000000.0,2.859493931,57.29,1.302163938,26.22329233
PAK,Pakistan,2017,3.215,5.119999886,457.358,1070000000000.0,4.81,56.761,1.414099904,26.70766786
PAK,Pakistan,2018,4.083,4.770319939,438.574,1130000000000.0,4.684667494,56.239,1.623714833,27.18606921
PAK,Pakistan,2019,4.83,4.539999962,469.121,1160000000000.0,6.799125046,57.102,1.691871247,27.26255886
PAK,Pakistan,2020,6.127,4.427089449,438.435,1190000000000.0,10.7391762,56.279,1.803751413,27.85930788
PAK,Pakistan,2021,6.338,4.316987038,446.768,1290000000000.0,8.899999997,56.908,1.886777972,28.51629415
PAK,Pakistan,2022,5.485,4.316987038,529.638,1440000000000.0,12.15136883,56.819,1.747997398,28.60513756
PAK,Pakistan,2023,5.408,4.316987038,539.766,1490000000000.0,29.17843042,56.771,1.548804586,28.72557356
PAK,Pakistan,2024,5.472,4.316987038,570.451,1580000000000.0,23.41,56.821,1.509598763,28.72557356
PHL,Philippines,2015,3.068,8.664999962,333.293,726000000000.0,0.658513637,70.291,1.478753843,20.30379213
PHL,Philippines,2016,2.695,8.422500134,346.599,788000000000.0,1.308411219,70.575,1.341907095,22.3307822
PHL,Philippines,2017,2.552,8.180000305,342.696,841000000000.0,2.859778599,68.116,1.288301867,23.47880278
PHL,Philippines,2018,2.338,8.575000286,353.01,915000000000.0,5.201793722,68.264,1.236860333,24.90697276
PHL,Philippines,2019,2.237,8.970000267,353.29,989000000000.0,2.375,69.08,1.216155346,25.21625492
PHL,Philippines,2020,2.522,8.890000343,354.328,923000000000.0,2.393162393,64.166,1.145514086,24.20009809
PHL,Philippines,2021,3.398,9.433619976,353.414,1000000000000.0,3.927180221,65.992,0.905660311,25.43897267
PHL,Philippines,2022,2.598,9.977239609,396.514,1150000000000.0,5.821158109,72.141,0.760479216,25.22829758
PHL,Philippines,2023,2.222,9.977239609,401.244,1260000000000.0,5.97803,72.031,0.810000999,25.3001051
PHL,Philippines,2024,2.153,9.977239609,400.222,1370000000000.0,3.2126,71.453,0.825602489,25.3001051
THA,Thailand,2015,0.597,8.183333079,624.064,1110000000000.0,-0.898143411,75.032,0.460976294,26.11881369
THA,Thailand,2016,0.688,8.319999695,625.86,1180000000000.0,0.186235191,73.858,0.451266063,26.3459785
THA,Thailand,2017,0.83,8.34499979,631.909,1250000000000.0,0.66441514,72.945,0.42296351,25.37124086
THA,Thailand,2018,0.765,8.369999886,660.936,1350000000000.0,1.066834874,72.993,0.302929452,25.20739577
THA,Thailand,2019,0.716,8.699999809,669.244,1430000000000.0,0.705524802,72.087,0.204609852,25.45929837
THA,Thailand,2020,1.099,8.813333193,694.119,1370000000000.0,-0.846087519,72.101,0.166540795,25.2450788
THA,Thailand,2021,1.215,8.926666578,710.375,1450000000000.0,1.231045165,72.022,0.119758275,25.00229963
THA,Thailand,2022,0.94,9.039999962,816.337,1600000000000.0,6.075899528,72.167,0.011148545,24.92818947
THA,Thailand,2023,0.733,9.039999962,783.514,1690000000000.0,1.229089866,71.73,-0.045865189,24.79551403
THA,Thailand,2024,0.693,9.039999962,818.87,1770000000000.0,0.39833,71.23,-0.048021055,24.79551403
TJK,Tajikistan,2015,11.485,11.34705891,111.233,25719495030.0,5.779247823,49.832,2.557793514,25.57040594
TJK,Tajikistan,2016,11.5,11.38352949,164.503,25833179136.0,5.944158524,49.575,2.533518726,26.24451989
TJK,Tajikistan,2017,11.487,11.42000008,147.917,27412327692.0,7.31187883,48.877,2.454670832,26.63183101
TJK,Tajikistan,2018,11.437,11.3761613,143.957,28565171551.0,3.870677227,48.151,2.407375997,27.11618783
TJK,Tajikistan,2019,11.419,11.33232253,137.769,32973431253.0,7.756077815,47.463,2.363856589,27.61976867
TJK,Tajikistan,2020,12.321,11.28848376,133.465,35623586502.0,8.596094514,46.828,2.27553633,28.33546521
TJK,Tajikistan,2021,12.333,11.27094825,124.29,39727222945.0,8.97311262,47.289,2.207389221,28.99500312
TJK,Tajikistan,2022,11.634,11.27094825,124.29,45964333259.0,6.56038,47.387,2.137285294,29.13511285
TJK,Tajikistan,2023,11.546,11.27094825,124.29,51570629198.0,3.7,47.482,2.018120097,29.66585195
TJK,Tajikistan,2024,11.635,11.27094825,124.29,57254340774.0,3.4,47.329,1.917323179,29.66585195
TKM,Turkmenistan,2015,4.016,10.82452965,343.705,79032357701.0,3.298013663551724,54.914,2.286103859,37.90297874
TKM,Turkmenistan,2016,4.031,10.8880372,382.825,82167730669.0,3.345815487827586,54.617,2.294521278,38.51397138
TKM,Turkmenistan,2017,4.044,10.95154476,412.146,86403378534.0,4.207002425137931,54.309,2.285307112,39.11134117
TKM,Turkmenistan,2018,4.044,11.01505232,443.457,95629644638.0,4.528310806206897,53.99,2.255929155,39.7082089
TKM,Turkmenistan,2019,4.043,11.07855988,513.526,105000000000.0,4.624918080103448,53.663,2.205525751,40.27926463
TKM,Turkmenistan,2020,4.501,11.14299353,583.742,105000000000.0,7.93913779851724,52.157,2.122655358,40.63523111
TKM,Turkmenistan,2021,4.459,11.20780193,608.719,117000000000.0,11.345335315793102,52.0,2.024445374,41.05414372
TKM,Turkmenistan,2022,4.109,11.20780193,608.719,133000000000.0,16.37175425637931,52.806,1.929227878,41.15576952
TKM,Turkmenistan,2023,4.099,11.20780193,608.719,146000000000.0,15.862202858068965,52.622,1.839701,41.59641063
TKM,Turkmenistan,2024,4.304,11.20780193,608.719,153000000000.0,7.048335517241378,52.482,1.750641118,41.59641063
TLS,Timor-Leste,2015,3.678,5.275200049,250.33,3745031233.0,0.646148611,81.036,1.946242341,14.16733608
TLS,Timor-Leste,2016,4.657,5.260240078,274.594,4164913919.0,-1.469842879,80.968,1.905259439,16.35420582
TLS,Timor-Leste,2017,4.248,5.44069493,298.065,4334794317.0,0.522976677,80.989,1.886415497,15.66122597
TLS,Timor-Leste,2018,3.778,5.627340364,286.026,4544057140.0,2.294243074,81.008,1.919302866,15.16833058
TLS,Timor-Leste,2019,3.097,5.820388753,276.574,5927904535.0,0.892112726,80.821,1.939287072,15.55668478
TLS,Timor-Leste,2020,2.782,6.020059751,266.989,8131467056.0,0.487563005,80.085,1.911593734,15.0963511
TLS,Timor-Leste,2021,2.344,6.226580551,258.11,9214418303.0,3.774671053,79.821,1.800068931,15.02457474
TLS,Timor-Leste,2022,1.537,6.226580551,260.516,7843625022.0,7.005309457,80.941,1.408845874,14.08434747
TLS,Timor-Leste,2023,1.521,6.226580551,250.174,6653072514.0,8.420351033,80.91,1.08884744,14.56095991
TLS,Timor-Leste,2024,1.603,6.226580551,252.348,6664784682.0,2.06284,80.923,1.174336386,14.56095991
UZB,Uzbekistan,2015,5.15,11.35999966,105.15,209000000000.0,8.464479403,64.064,1.726570034,33.96658497
UZB,Uzbekistan,2016,5.16,11.67000008,101.354,216000000000.0,7.982429971,63.656,1.725621509,34.11195575
UZB,Uzbekistan,2017,5.83,11.72000027,98.441,249000000000.0,12.54570017,63.321,1.694424895,34.19515383
UZB,Uzbekistan,2018,5.389,11.77000046,93.254,263000000000.0,17.4999999,62.904,1.727068824,34.119525
UZB,Uzbekistan,2019,4.932,11.89999962,288.786,282000000000.0,14.50000008,62.488,1.809744429,34.02258718
UZB,Uzbekistan,2020,5.293,11.88999987,287.981,284000000000.0,12.89999998,61.185,1.868306716,34.24630399
UZB,Uzbekistan,2021,5.364,11.88000011,282.806,317000000000.0,10.8,61.762,1.938209992,35.0835522
UZB,Uzbekistan,2022,4.49,11.90999985,306.742,360000000000.0,11.4,61.674,2.009990647,35.0611279
UZB,Uzbekistan,2023,4.46,11.90999985,331.491,396000000000.0,10.0,61.681,2.02114614,35.25236365
UZB,Uzbekistan,2024,4.488,11.90999985,311.296,432000000000.0,9.6,61.403,1.970653837,35.25236365
VNM,Vietnam,2015,1.848,8.04,340.0,712000000000.0,0.633307815,82.755,1.239754031,26.05316292
VNM,Vietnam,2016,1.848,8.123,389.3,787000000000.0,2.65560166,82.452,1.259883665,28.60829218
VNM,Vietnam,2017,1.874,8.205,415.5,873000000000.0,3.53004581,82.375,1.244204736,29.56532577
VNM,Vietnam,2018,1.161,8.288,436.6,963000000000.0,3.533315981,82.68,1.107913952,30.35338035
VNM,Vietnam,2019,1.681,8.37,459.3,1070000000000.0,2.79680724,80.929,0.968366699,32.7538739
VNM,Vietnam,2020,2.103,8.455,481.9,1140000000000.0,3.222059183,79.05,0.927434296,34.99476641
VNM,Vietnam,2021,2.385,8.455,489.3,1190000000000.0,1.835650655,79.674,0.868883561,36.71794803
VNM,Vietnam,2022,1.523,8.455,543.0,1390000000000.0,3.149530002,80.95,0.750756665,34.44918099
VNM,Vietnam,2023,1.645,8.455,657.8,1510000000000.0,3.2,80.617,0.671429251,34.9630136
VNM,Vietnam,2024,1.431,8.455,692.7,1650000000000.0,3.5,80.2,0.631267006,34.9630136
